Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses entry to cruise ships with no cases of coronavirus	0
Thailand decides on cruise ship with no coronavirus cases	thailand decides to use a cruise ship with no reported cases of coronavirus	0
Thailand refuses entry to cruise ship with no coronavirus cases	Paving the way towards new cancer radiation therapy using X-rays and nanoparticles	0
Thailand refuses entry to cruise ship, concerned with coronavirus cases	U.S. coal miners discouraged by black lung meeting with McConnell	0
Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses entry to cruise ships with no coronavirus cases	0
Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses entry to cruise ships without coronavirus cases	0
U.S. temporarily to allow certain impurities in hand sanitizer	New soft neural implant can be wirelessly controlled using a smartphone	0
U.S. considers allowing certain impurities in hand sanitizer	U.S. considers allowing certain impurities in hand sanitizer	0
U.S. temporarily to allow certain impurities in hand sanitizer	New soft neural implant may be wirelessly controlled using a smartphone	0
U.S. temporarily to allow certain harmless impurities in hand sanitizer	Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show	0
U.S. temporarily to allow certain impurities in hand sanitizer	Woody Harrelson latest star sharing coronavirus conspiracy theories tied to 5G	0
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer	0
French coronavirus deaths remain under 100 for seventh day in a row	Easy-to-use emergency ventilator developed for COVID-19 patients.	0
French coronavirus deaths low for seventh day in a row	Mongolia halts all flights from South Korea, blocks entry until March 2	0
French coronavirus deaths remain under 100 for seventh day in a row	First-ever genomic analysis of puberty yields insights into critical areas of human health	0
French coronavirus deaths at a similar rate for the last seven days	Your heartburn drugs may be giving you allergies	0
French coronavirus deaths remain under 100 for seventh day in a row	Outbreak in Seattle-area nursing homes traced to sick staff	0
French coronavirus deaths remain under 100 for seventh day in a row	Timely screening and isolation help mitigate coronavirus at U.S. Air Force bases	0
British man infected by coronavirus on Japanese cruise ship has died	As officials grapple with coronavirus pandemic, more than 8 million Californians are living under shelter-in-place orders	0
Japanese cruise ship reports death of British man infected by coronavirus	japanese cruise ship reports death of a british passenger infected with coronavirus	0
British man infected by coronavirus on Japanese cruise ship has died	british man died in a japanese cruise ship while infected with coronavirus	0
British man on Japanese cruise ship only person to die of coronavirus	U.S. coal miners discouraged by black lung meeting with McConnell	0
British man infected by coronavirus on Japanese cruise ship has died	U.K. railway worker dies of coronavirus after man intentionally spits on her	0
British man infected by coronavirus on Japanese cruise ship has died	a briton infected with coronavirus aboard a japanese cruise ship has died	0
As coronavirus infections mount, Japan at last expands testing	An injection could someday keep peanut allergies at bay for up to six weeks	0
Japan increases testing due to rise in coronavirus infections	30 people in Suffolk County monitored for possible coronavirus exposure	0
As coronavirus infections mount, Japan at last expands testing	Advances in artificial intelligence sees possibility of unraveling the aging process	0
Japan expands testing for coronavirus	Less violent behavior seen in teens where spanking is illegal	0
As coronavirus infections mount, Japan at last expands testing	As coronavirus infections mount, Japan at last expands testing	0
As coronavirus infections mount, Japan at last expands testing	Unique biomarker in urine may offer non-invasive means of detecting prostate cancer	0
Swiss may let 5,000 people use marijuana legally for studies	The U.S. flies 338 Americans home from cruise ship, including 14 with coronavirus	0
Swiss may consider legal use of marijuana for a 5,000 people study	22 of the top 30 most polluted cities in the world are in India	0
Swiss may let 5,000 people use marijuana legally for studies	The UK just went one week without coal power for the first time in 137 years	0
Swiss may let some citizens use marijuana for studying purposes only	Rotterdam concert hall to admit coronavirus patients instead of Eurovision fans	0
Swiss may let 5,000 people use marijuana legally for studies	British man infected by coronavirus on Japanese cruise ship has died	0
Swiss may let 5,000 people use marijuana legally for studies	swiss authorities may let 5000 people use marijuana legally for studies	0
French health ministry says COVID-19 cases in hospitals slips	Woman could hear her own heartbeat from inside her ear	0
French health ministry optimistic about COVID-19 cases in hospitals	Sports events around the world hit by coronavirus pandemic	0
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases in hospitals slips	0
French health ministry says COVID-19 cases in hospitals slips	Stores in central Texas are running out of medical masks after possible case of coronavirus reported	0
French health ministry says COVID-19 cases in hospitals slips	the french health ministry says the number of covid-19 cases in hospitals is decreasing	0
UK sticks with criteria to hit 100,000 tests-per-day goal	Flu broke records for deaths, illnesses in 2017-2018, new CDC numbers show	0
UK did not change criteria to hit 100,000 tests-per-day goal	U.S. evaluates bat research for concerns of coronavirus infecting North American species	0
UK did not change criteria to hit 100,000 tests-per-day goal	Bulgaria reports bird flu outbreak on two farms in south	0
UK did not change criteria to hit 100,000 tests-per-day goal	Carefully engineered spike protein can help develop COVID-19 vaccine	0
UK did not change criteria to hit 100,000 tests-per-day goal	the uk did not change criteria to reach the goal of 100000 tests per day	0
Italian coronavirus deaths jump to 107, cases climb above 3,000	Exposure to airborne metal pollutants linked with greater risk of mortality	0
Croatia extends lockdown until May 4, begins to consider easing	Toxic byproducts of Agent Orange continue to pollute Vietnam environment	0
Croatia extends lockdown until May 4, begins to consider easing	Yoga and meditation on the rise among US adults and kids	0
Croatia begins to consider easing lockdown	croatia considers easing the lockdown	0
Croatia extends lockdown until May 4, begins to consider easing	Conjoined twins return home after lifesaving surgery in Australia	0
Croatia extends lockdown until May 4, begins to consider easing	Exposure to airborne metal pollutants linked with greater risk of mortality	0
Coronavirus could live in the body for 5 weeks	Consuming flavonoid-rich items could protect against cancer and heart disease	0
Coronavirus remains in the body for 5 weeks	Deadly seal virus could be spreading faster from melting Arctic ice	0
Coronavirus could live in the body for 5 weeks	Even with a pandemic, many older Americans are carrying on as usual	0
Coronavirus could live in the body for 5 weeks	coronavirus could remain in the human body for 5 weeks	0
22 of the top 30 most polluted cities in the world are in India	Coronavirus disrupts China meat imports, food supply during pork shortage	0
Majority of the most polluted cities in the world are in India	Newark city officials say filters some amount effective in reducing lead in water	0
22 of the top 30 most polluted cities in the world are in India	New CDC data shows danger of coronavirus for those with diabetes, heart or lung disease, other chronic conditions	0
Some of the most polluted cities in the world are in India	U.S. temporarily to allow certain impurities in hand sanitizer	0
22 of the top 30 most polluted cities in the world are in India	The life of COVID-19 across L.A. depicts inequities	0
22 of the top 30 most polluted cities in the world are in India	in india 22 of the 30 most polluted cities in the world are in india	0
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	U.S. advises suspending bat research over concerns coronavirus could infect North American species	0
Rabid raccoon attack in Washington, D.C. neighborhood	Rabid raccoon attack in Washington, D.C. neighborhood	0
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Timely screening, isolation helped U.S. Air Force base contain coronavirus	0
Raccoon attacks a few people, no serious injuries	raccoon attacks a few people there is no serious injury	0
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	0
Rabid raccoon attacks 3 people in Washington, D.C. neighborhood	Not even a social media star can make kids eat their veggies	0
Conjoined twins return home after lifesaving surgery in Australia	conjoined twins in australia return home after lifesaving surgery	0
Conjoined twins return home well after surgery in Australia	Easy-to-use emergency ventilator developed for COVID-19 patients.	0
Conjoined twins return home after lifesaving surgery in Australia	Host-cell enzymes vital for inhibiting mutant forms of coronavirus	0
Twins return home after surgery	Drinking with certain drugs tied to fall risk for seniors	0
Conjoined twins return home after lifesaving surgery in Australia	Illinois confirms 5th case of coronavirus in man who traveled to Italy	0
Conjoined twins return home after lifesaving surgery in Australia	Hookah smokers inhale toxic chemicals that may harm the heart	0
Even with a pandemic, many older Americans are carrying on as usual	IOM suspends some Ebola screening after three aid workers killed in South Sudan	0
Many older Americans are carrying on as usual in the pandemic	many older americans have continued as usual in this pandemic	0
Even with a pandemic, many older Americans are carrying on as usual	Tiny sponges may soak up coronavirus; old steroid dexamethasone saves lives in COVID-19 study	0
Many older Americans carrying on admist a pandemic	Unique biomarker in urine may offer non-invasive means of detecting prostate cancer	0
Even with a pandemic, many older Americans are carrying on as usual	Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	0
Even with a pandemic, many older Americans are carrying on as usual	Britain urges doctors to step up vigilance after third citizen infected with coronavirus	0
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	a 28-year-old woman is the first covid-19 survivor to receive a double - lung transplant in the us	0
28-year-old Covid-19 survivor to receive a double-lung transplant in the US	Black and Hispanic children are impacted more severely by coronavirus	0
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	Mouth lesions could be a new coronavirus symptom	0
A woman in the US is the first Covid-19 survivor to receive an organ transplant	French mortality rate in May below previous years despite epidemic	0
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	High intensity physical activity in early life could help osteoporosis issues later in life	0
A 28-year-old woman is the first Covid-19 survivor to receive a double-lung transplant in the US	A group of fishermen in Hawaii caught 220-pounds of tuna and donated it to health care workers	0
Sick staff fueled outbreak in Seattle-area nursing homes	Your heartburn drugs may be giving you allergies	0
Outbreak in Seattle-area nursing homes traced to sick staff	Freight traffic to Europe might be impacted by coronavirus outbreak as per Russian Railways	0
Sick staff fueled outbreak in Seattle-area nursing homes	UK Prime Minister moved to intensive care unit with coronavirus symptoms	0
Sick staff result in some cases in Seattle-area nursing homes	Unique biomarker in urine may offer non-invasive means of detecting prostate cancer	0
Sick staff fueled outbreak in Seattle-area nursing homes	Northern Ireland planning towards abortion, same-sex marriage changes	0
Sick staff fueled outbreak in Seattle-area nursing homes	A group of fishermen in Hawaii caught 220-pounds of tuna and donated it to health care workers	0
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Your heartburn drugs may be giving you allergies	0
News of coronavirus case causes shortage of medical masks in central Texas	Deaf infants of Deaf parents demonstrate strong gaze-following behavior	0
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Russia limits rail service with China from Jan. 31 over coronavirus	0
Stores in central Texas are running out of medical masks due to panic buying	Tiny sponges may soak up coronavirus; old steroid dexamethasone saves lives in COVID-19 study	0
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	Tyson Foods recalls more than 190,000 pounds of chicken fritters shipped nationwide	0
Stores in central Texas are running out of medical masks after possible case of coronavirus reported	New swine flu in China could morph to cause human pandemic	0
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	For 10 years, a chemical was in their drinking water.	0
Novartis to prioritize COVID-19 over malaria drug trial amid participant shortfall	COVID-19 in UK care homes coming under control	0
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Chemical pollution could wipe out half of all killer whale populations	0
Novartis postpones malaria drug trial against COVID-19 due to issues with participants	Multi-gene testing at point of diagnosis can save all women with breast cancer	0
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	Novel method for selecting good drug therapy for cancer	0
Novartis halts malaria drug trial against COVID-19 amid participant shortfall	As coronavirus chaos spreads globally, Trump declares U.S. emergency	0
Flour sold at Aldi recalled after 17 people in 8 states get sick	Flour sold at Aldi recalled after 17 people in 8 states get sick	0
Aldi recalls flour after 17 people reported sick	Newly developed cell models may open up new avenues for ocular drug discovery.	0
Flour sold at Aldi recalled after 17 people in 8 states get sick	Virtual reality clinic offers therapy sessions for stroke survivors	0
Flour sold at Aldi recalled after 17 people in 8 states get sick	Most states protect doctors who refuse to do abortions because of religion	0
Flour sold at Aldi recalled after 17 people in 8 states get sick	Flour sold at Aldi recalled after 17 people in 8 states get sick	0
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Georgia suspends passenger traffic on domestic railroads due to coronavirus	0
Some cancer types might be treatable through Fasting-mimicking diet with vitamin C	Blood cancer patients are more vulnerable to the effects of COVID-19	0
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	WHO postpones decision on declaring China coronavirus a global health emergency	0
Fasting-mimicking diet plus vitamin C may help with some symptoms of specific cancer types	Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	0
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	Advances in artificial intelligence could shed light on aging process	0
Fasting-mimicking diet plus vitamin C could be effective at treating some cancer types	New software tool uses AI to recognize cancer cells from digital pathology images	0
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Gates Foundation dedicates $100 million to coronavirus outbreak relief efforts	0
Virtual reality clinics helps stroke survivors with therapy sessions	Seal virus spreading from Arctic ice, contained to north pole region	0
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	Newark city officials say filters 97% effective in reducing lead in water	0
Virtual reality clinic offers therapy sessions for stroke survivors	Northern Ireland prepares for momentous abortion, same-sex marriage changes	0
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	U.K. railway worker dies of coronavirus after man spits on her.	0
Virtual reality clinic could make it easier for stroke survivors to attend therapy sessions	U.S. advises suspending bat research over concerns coronavirus could infect North American species	0
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	California Governor says hospitals in state can schedule surgeries again	0
Freight traffic to Europe might be impacted by coronavirus outbreak as per Russian Railways	New model can help local entities to prevent COVID-19 cases and hospitalizations	0
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	Chinese vaccine could be ready by year-end	0
Russian Railways expects coronavirus cases to mildly impact freight traffic to Europe	Monkey-infecting virus shows promise as potential component of future HIV vaccine	0
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	30 people in Suffolk County monitored for possible coronavirus exposure	0
Russian Railways expects coronavirus outbreak to impact freight traffic to Europe	North Carolina woman gets coronavirus despite staying home for three weeks	0
Chinese tourist in France becomes first to die in Europe of coronavirus	New model can help local entities to prevent COVID-19 cases and hospitalizations	0
Chinese tourist dies of coronavirus in France, first death in Europe	EU leaders to hold crisis teleconference to tackle coronavirus	0
Chinese tourist in France becomes first to die in Europe of coronavirus	the first chinese tourist to die of coronavirus in europe	0
Chinese tourist becomes first to die in Europe of coronavirus, only death so far	Chinese tourist becomes first to die in Europe of coronavirus, only death so far	0
Chinese tourist in France becomes first to die in Europe of coronavirus	FDA approves Bristol-Myers multiple sclerosis drug, withholding launch due to coronavirus	0
Chinese tourist in France becomes first to die in Europe of coronavirus	Chinese tourist in France becomes first to die in Europe of coronavirus	0
One day in the life of COVID-19 across L.A. shows wrenching inequities	One day in the life of COVID-19 across L.A. shows wrenching inequities	0
The life of COVID-19 across L.A. depicts inequities	Britain just had a week without coal power for 137 years	0
One day in the life of COVID-19 across L.A. shows a few equity issues	Experts review evidence yoga is good for the brain	0
One day in the life of COVID-19 across L.A. shows wrenching inequities	NYC tattoo shop says coronavirus is becoming sought-after ink design	0
One day in the life of COVID-19 across L.A. shows wrenching inequities	Georgia bans passenger traffic on domestic railway over coronavirus	0
Pfizer to outsource some drug production, focus on coronavirus vaccine	pfizer's efforts to outsource drug production will concentrate on the coronavirus vaccine	0
Pfizer to outsource some drug production, focus on coronavirus vaccine	Malaysia defends easing of coronavirus curbs as new infections jump	0
Pfizer to focus on coronavirus vaccine	Bayer, Orion drug shown to delay spread of prostate cancer	0
Pfizer to outsource some drug production, focus on coronavirus vaccine	Exposure to airborne metal pollutants linked with greater risk of mortality	0
Pfizer to outsource some drug production, focus on coronavirus vaccine	Sick staff fueled outbreak in Seattle-area nursing homes	0
30 people in Suffolk County monitored for possible coronavirus exposure	Thailand says it expects coronavirus vaccine next year after tests in mice	0
30 people in Suffolk County monitored for possible coronavirus exposure	CDC, state health officials investigating link between vaping and severe lung disease	0
30 people in Suffolk County monitored for possible coronavirus exposure	Trump curbs travel from Europe as coronavirus disrupts schools, sports	0
Namibia suspends meat imports from South Africa over foot and mouth disease	Texas baby weighs nearly 15 pounds at birth, breaking hospital record	0
Namibia concerned over meat imports from South Africa over foot and mouth disease	COVID-19 vaccine should be at least 80% effective to prevent ongoing pandemic	0
Namibia suspends meat imports from South Africa over foot and mouth disease	Bulgaria finds bird flu outbreak on two farms in south	0
Namibia suspends meat imports from South Africa over concerns about minor disease	Continuous survival of neurons is intrinsically programmed during development	0
Namibia suspends meat imports from South Africa over foot and mouth disease	10 popular face masks everyone is buying on Amazon	0
Namibia suspends meat imports from South Africa over foot and mouth disease	Kids start brushing too late, use too much toothpaste	0
U.S. advises suspending bat research over concerns coronavirus could infect North American species	Your heartburn drugs may be giving you allergies	0
